order_id,status,customer_name,order_date,quantity,subtotal_amount,tax_rate,shipping_cost,category,subcategory
353,Order Finished,Dean Percer,2010-12-30,21,93880.00,0.0200,1878.00,Office Supplies,Pens & Art Supplies
355,Order Finished,Henry Mac Allister,2009-06-13,16,2479263.00,0.0000,0.00,Technology,Telephones & Communication
358,Order Finished,Ricardo Block,2010-09-19,33,3281800.00,0.0200,65636.00,Furniture,Bookcases
359,Order Returned,Cari Sayre,2009-12-18,30,7319320.00,0.0800,585546.00,Furniture,Tables
384,Order Finished,Sonia Cooley,2012-03-02,50,15332080.00,0.0200,306642.00,Furniture,Tables
386,Order Finished,Tracy Poddar,2011-01-24,4,29920.00,0.0200,598.00,Office Supplies,Labels
388,Order Finished,Jennifer Halladay,2012-12-15,46,1035860.00,0.0600,62152.00,Office Supplies,Appliances
416,Order Finished,Stuart Calhoun,2010-09-26,20,2313343.00,0.0100,23133.00,Technology,Telephones & Communication
417,Order Finished,Robert Barroso,2009-02-05,39,30521560.00,0.0700,2136509.00,Technology,Office Machines
420,Order Finished,Annie Thurman,2011-10-30,8,86580.00,0.0900,7792.00,Office Supplies,Paper
448,Order Finished,Brad Thomas,2011-08-20,22,2324801.00,0.0900,209232.00,Technology,Telephones & Communication
449,Order Finished,Candace Mc Mahon,2011-07-19,45,713400.00,0.0200,14268.00,Furniture,Office Furnishings
450,Order Finished,Matt Collins,2011-03-04,29,2001560.00,0.0500,100078.00,Office Supplies,Pens & Art Supplies
454,Order Finished,Darrin Martin,2011-12-26,42,468400.00,0.0900,42156.00,Office Supplies,Rubber Bands
481,Order Finished,Art Foster,2012-10-07,44,9018755.00,0.0100,90188.00,Technology,Telephones & Communication
483,Order Finished,Clay Rozendal,2011-07-10,30,9931519.00,0.0800,794522.00,Technology,Telephones & Communication
487,Order Finished,Valerie Dominguez,2012-08-17,19,420800.00,0.0700,29456.00,Office Supplies,Appliances
512,Order Finished,Sam Craven,2011-05-19,6,2619060.00,0.0600,157144.00,Furniture,Chairs & Chairmats
513,Order Finished,Arthur Prichep,2011-04-30,33,10875840.00,0.0000,0.00,Furniture,Chairs & Chairmats
515,Order Finished,Carlos Soltero,2010-08-28,19,788540.00,0.0800,63083.00,Office Supplies,Appliances
548,Order Finished,Sung Chung,2009-09-20,41,258980.00,0.0400,10359.00,Office Supplies,Labels
549,Order Finished,Ken Brennan,2012-07-12,13,140480.00,0.0300,4214.00,Office Supplies,Paper
610,Order Finished,Joe Elijah,2011-08-01,38,567300.00,0.0200,11346.00,Office Supplies,Paper
611,Order Finished,Arthur Prichep,2010-01-26,47,1680080.00,0.0400,67203.00,Office Supplies,Storage & Organization
612,Order Returned,Sheri Gordon,2012-10-20,50,525740.00,0.1000,52574.00,Office Supplies,Paper
613,Order Finished,Carl Jackson,2011-06-17,12,187080.00,0.0300,5612.00,Office Supplies,Binders & Binder Accessories
614,Order Returned,Dave Hallsten,2012-11-30,41,1256440.00,0.0000,0.00,Furniture,Office Furnishings
640,Order Finished,Tamara Chand,2010-01-22,39,9827380.00,0.0200,196548.00,Furniture,Bookcases
643,Order Finished,Monica Federle,2011-03-24,21,5563640.00,0.0700,389455.00,Office Supplies,Storage & Organization
644,Order Finished,Bill Eplett,2012-04-30,5,3359160.00,0.0100,33592.00,Furniture,Chairs & Chairmats
645,Order Finished,Harold Engle,2009-12-02,42,1115700.00,0.0500,55785.00,Office Supplies,Binders & Binder Accessories
646,Order Finished,Duane Huffman,2009-11-21,18,346400.00,0.0100,3464.00,Office Supplies,"Scissors, Rulers & Trimmers"
678,Order Returned,Dorothy Badders,2010-02-26,44,456820.00,0.0700,31977.00,Office Supplies,Paper
706,Order Finished,Sarah Jordon,2011-09-08,42,150280.00,0.0500,7514.00,Office Supplies,Pens & Art Supplies
710,Order Returned,Susan Mac Kendrick,2010-01-01,42,323540.00,0.0100,3235.00,Office Supplies,Binders & Binder Accessories
738,Order Finished,Caroline Jumper,2010-03-01,7,1121020.00,0.0400,44841.00,Office Supplies,Appliances
740,Order Returned,Thomas Boland,2011-07-15,6,56020.00,0.0900,5042.00,Office Supplies,Labels
769,Order Finished,Roy French,2010-06-01,37,8523880.00,0.0200,170478.00,Technology,Office Machines
771,Order Finished,Darrin Van Huff,2011-06-16,18,177680.00,0.0800,14214.00,Office Supplies,Paper
772,Order Finished,Pamela Stobb,2010-04-16,35,1178480.00,0.0800,94278.00,Office Supplies,Appliances
773,Order Finished,Helen Abelman,2010-09-25,38,4142679.00,0.0600,248561.00,Technology,Telephones & Communication
774,Order Finished,Sibella Parks,2011-12-03,17,253140.00,0.0300,7594.00,Office Supplies,Appliances
775,Order Returned,Peter Mc Vee,2011-03-17,35,87140.00,0.1000,8714.00,Office Supplies,Rubber Bands
801,Order Finished,Thais Sissman,2012-02-17,20,119700.00,0.0300,3591.00,Office Supplies,Pens & Art Supplies
802,Order Finished,Kean Nguyen,2011-01-04,33,757200.00,0.0800,60576.00,Office Supplies,Binders & Binder Accessories
805,Order Finished,Toby Swindell,2011-07-04,39,395120.00,0.0200,7902.00,Furniture,Office Furnishings
807,Order Finished,Neola Schneider,2010-11-23,45,393700.00,0.0100,3937.00,Office Supplies,Paper
832,Order Finished,Alice Mc Carthy,2012-04-18,7,106920.00,0.0200,2138.00,Office Supplies,Paper
833,Order Returned,Olvera Toch,2009-02-12,1,38640.00,0.0300,1159.00,Office Supplies,Binders & Binder Accessories
834,Order Finished,Eugene Moren,2009-05-22,15,3626080.00,0.0100,36261.00,Technology,Office Machines
835,Order Finished,Duane Huffman,2011-10-07,18,250320.00,0.0200,5006.00,Office Supplies,Paper
837,Order Finished,Sean O'Donnell,2009-06-14,11,131400.00,0.0100,1314.00,Office Supplies,Pens & Art Supplies
868,Order Finished,Carlos Daly,2012-06-08,32,1433680.00,0.0000,0.00,Office Supplies,Appliances
870,Order Finished,Valerie Dominguez,2010-06-19,23,3322080.00,0.0400,132883.00,Office Supplies,Appliances
871,Order Finished,David Kendrick,2011-11-14,17,209880.00,0.0600,12593.00,Furniture,Office Furnishings
896,Order Finished,Edward Nazzal,2010-03-08,50,2493040.00,0.0100,24930.00,Office Supplies,Binders & Binder Accessories
898,Order Finished,Sanjit Jacobs,2010-06-02,40,1352260.00,0.0300,40568.00,Technology,Computer Peripherals
900,Order Finished,Karen Carlisle,2009-09-30,29,2387300.00,0.0700,167111.00,Office Supplies,Binders & Binder Accessories
902,Order Returned,Meg O'Connel,2009-07-26,10,3851660.00,0.0900,346649.00,Office Supplies,Appliances
928,Order Returned,Anthony O'Donnell,2011-03-01,21,2445360.00,0.0600,146722.00,Office Supplies,Appliances
929,Order Finished,Luke Foster,2012-10-01,21,455320.00,0.0400,18213.00,Technology,Computer Peripherals
930,Order Returned,Phillina Ober,2009-12-16,22,1844780.00,0.0300,55343.00,Furniture,Office Furnishings
933,Order Finished,Claudia Miner,2012-08-04,15,161220.00,0.0200,3224.00,Office Supplies,Binders & Binder Accessories
960,Order Finished,Jim Kriz,2009-09-20,46,1211940.00,0.0700,84836.00,Furniture,Office Furnishings
962,Order Finished,Mike Vittorini,2009-05-05,33,8128100.00,0.0600,487686.00,Office Supplies,Binders & Binder Accessories
964,Order Finished,Stefania Perrino,2011-05-19,4,80040.00,0.0200,1601.00,Office Supplies,Pens & Art Supplies
965,Order Finished,Jas O'Carroll,2011-05-14,42,22460500.00,0.0700,1572235.00,Furniture,Tables
967,Order Finished,Maureen Gastineau,2012-06-20,6,181120.00,0.0300,5434.00,Technology,Office Machines
994,Order Finished,Kelly Lampkin,2009-04-19,38,264140.00,0.0600,15848.00,Office Supplies,Rubber Bands
995,Order Finished,Neola Schneider,2011-05-30,46,3630980.00,0.0300,108929.00,Furniture,Office Furnishings
998,Order Finished,Allen Rosenblatt,2009-11-25,16,496520.00,0.0700,34756.00,Office Supplies,Envelopes
999,Order Finished,Max Jones,2010-09-04,6,1167280.00,0.0800,93382.00,Office Supplies,Storage & Organization
1027,Order Finished,Hallie Redmond,2012-06-02,19,2812300.00,0.0400,112492.00,Furniture,Bookcases
1028,Order Finished,Matt Collins,2009-01-05,6,331500.00,0.0300,9945.00,Technology,Computer Peripherals
1031,Order Finished,Sanjit Jacobs,2009-08-31,34,452200.00,0.0000,0.00,Office Supplies,Binders & Binder Accessories
1057,Order Finished,Anthony Witt,2012-02-19,41,682720.00,0.0900,61445.00,Technology,Computer Peripherals
1058,Order Finished,Jim Epp,2010-04-25,3,938876.00,0.0700,65721.00,Technology,Telephones & Communication
1059,Order Finished,Sean O'Donnell,2009-02-26,22,254660.00,0.0200,5093.00,Office Supplies,Binders & Binder Accessories
1060,Order Returned,Harold Dahlen,2010-02-20,30,2375100.00,0.0000,0.00,Office Supplies,Binders & Binder Accessories
1088,Order Finished,Muhammed Yedwab,2012-05-20,13,538040.00,0.1000,53804.00,Technology,Computer Peripherals
1095,Order Finished,Ed Braxton,2011-08-21,28,284360.00,0.0700,19905.00,Office Supplies,Paper
1127,Order Returned,Stuart Calhoun,2011-09-18,48,10681000.00,0.0100,106810.00,Furniture,Office Furnishings
1154,Order Finished,Sylvia Foulston,2012-02-14,44,8924460.00,0.0400,356978.00,Furniture,Bookcases
1185,Order Finished,Ionia Mc Grath,2012-08-23,7,749560.00,0.0900,67460.00,Office Supplies,Paper
1187,Order Finished,Guy Armstrong,2012-11-19,14,445820.00,0.0500,22291.00,Technology,Computer Peripherals
1189,Order Finished,Aaron Smayling,2009-04-08,27,258200.00,0.0000,0.00,Office Supplies,Envelopes
1191,Order Finished,Karl Brown,2011-11-06,35,7065920.00,0.0800,565274.00,Furniture,Tables
1217,Order Finished,Sung Shariari,2012-04-25,25,1324320.00,0.0700,92702.00,Technology,Computer Peripherals
1218,Order Finished,Craig Carroll,2009-06-19,3,92920.00,0.1000,9292.00,Office Supplies,Appliances
1221,Order Finished,Lela Donovan,2012-04-18,1,29360.00,0.0600,1762.00,Office Supplies,Binders & Binder Accessories
1222,Order Finished,Lisa De Cherney,2010-02-04,48,514780.00,0.0800,41182.00,Office Supplies,Paper
1253,Order Finished,Tanja Norvell,2010-01-25,15,988680.00,0.0500,49434.00,Office Supplies,Storage & Organization
1280,Order Finished,Harold Dahlen,2010-01-10,40,1654540.00,0.0500,82727.00,Technology,Computer Peripherals
1282,Order Finished,Emily Grady,2012-02-27,26,1784760.00,0.0000,0.00,Technology,Computer Peripherals
1285,Order Returned,Sally Matthias,2012-05-31,27,7748240.00,0.0000,0.00,Furniture,Bookcases
1286,Order Finished,Lena Creighton,2010-05-13,46,468740.00,0.0500,23437.00,Office Supplies,Binders & Binder Accessories
1287,Order Finished,Mitch Willingham,2009-07-04,39,7817300.00,0.0600,469038.00,Furniture,Office Furnishings
1313,Order Finished,Sally Matthias,2009-09-12,34,1680140.00,0.0000,0.00,Office Supplies,Paper
1314,Order Finished,Justin Knight,2009-05-12,4,85160.00,0.0000,0.00,Office Supplies,Paper
1317,Order Returned,Janet Lee,2011-05-18,44,1046840.00,0.0600,62810.00,Office Supplies,Binders & Binder Accessories
1344,Order Finished,Jim Radford,2012-04-15,15,1669808.00,0.0600,100188.00,Technology,Telephones & Communication
1345,Order Finished,Ritsa Hightower,2012-10-27,24,4887700.00,0.0800,391016.00,Furniture,Bookcases
1346,Order Finished,Theone Pippenger,2012-06-17,48,9579780.00,0.0900,862180.00,Furniture,Bookcases
1382,Order Returned,Corey Catlett,2010-08-16,5,178670.00,0.0600,10720.00,Technology,Telephones & Communication
1383,Order Finished,Frank Merwin,2010-04-26,43,34259940.00,0.0700,2398196.00,Office Supplies,Storage & Organization
1411,Order Finished,Ed Jacobs,2009-12-20,39,11496400.00,0.0900,1034676.00,Furniture,Bookcases
1412,Order Finished,Carlos Soltero,2010-03-12,13,118060.00,0.1000,11806.00,Office Supplies,Labels
1414,Order Finished,Carol Darley,2011-08-15,44,9061920.00,0.0700,634334.00,Furniture,Tables
1440,Order Finished,Stefanie Holloman,2011-08-09,41,1452440.00,0.0100,14524.00,Furniture,Office Furnishings
1444,Order Finished,Noel Staavos,2009-12-05,2,42880.00,0.0200,858.00,Office Supplies,Paper
1445,Order Finished,Shahid Shariari,2011-01-09,3,2652180.00,0.0000,0.00,Office Supplies,Binders & Binder Accessories
1447,Order Finished,Barry Gonzalez,2012-10-14,40,4271947.00,0.0700,299036.00,Technology,Telephones & Communication
1504,Order Finished,Maribeth Schnelling,2012-08-27,31,586360.00,0.0800,46909.00,Technology,Computer Peripherals
1507,Order Finished,Harold Ryan,2010-10-13,29,8691720.00,0.0900,782255.00,Technology,Computer Peripherals
1537,Order Finished,Grant Thornton,2012-02-14,5,33200.00,0.0700,2324.00,Office Supplies,Binders & Binder Accessories
1538,Order Returned,Ted Trevino,2011-06-17,15,2594608.00,0.0000,0.00,Technology,Telephones & Communication
1539,Order Finished,Carl Ludwig,2011-03-09,33,1023660.00,0.1000,102366.00,Office Supplies,Binders & Binder Accessories
1540,Order Finished,Don Miller,2012-08-04,30,161800.00,0.0900,14562.00,Office Supplies,Pens & Art Supplies
1542,Order Finished,Linda Southworth,2010-09-14,47,4300500.00,0.0600,258030.00,Office Supplies,Appliances
1573,Order Finished,Lena Radford,2012-12-27,13,1519880.00,0.0900,136789.00,Furniture,Chairs & Chairmats
1575,Order Finished,Dave Poirier,2011-09-12,26,267300.00,0.0500,13365.00,Office Supplies,Paper
1600,Order Finished,Liz Mac Kendrick,2010-03-02,32,607180.00,0.1000,60718.00,Furniture,Office Furnishings
1604,Order Finished,Rick Wilson,2010-07-16,47,1245640.00,0.0000,0.00,Furniture,Office Furnishings
1637,Order Finished,Aleksandra Gannaway,2011-02-07,36,2451040.00,0.1000,245104.00,Office Supplies,Storage & Organization
1639,Order Finished,Sean Christensen,2011-08-19,24,326280.00,0.0900,29365.00,Office Supplies,Paper
1665,Order Returned,John Lucas,2009-05-07,26,1511215.00,0.0500,75561.00,Technology,Telephones & Communication
1666,Order Finished,Nona Balk,2011-10-17,19,11284360.00,0.0900,1015592.00,Office Supplies,Binders & Binder Accessories
1699,Order Finished,Art Ferguson,2010-12-29,40,861760.00,0.0500,43088.00,Office Supplies,Envelopes
1701,Order Finished,Ed Ludwig,2012-05-18,49,4095160.00,0.0100,40952.00,Technology,Computer Peripherals
1702,Order Finished,Annie Cyprus,2011-05-06,23,134480.00,0.0600,8069.00,Office Supplies,Pens & Art Supplies
1761,Order Finished,Carl Ludwig,2010-12-23,25,24056460.00,0.0100,240565.00,Technology,Copiers & Fax
1762,Order Finished,Lisa Hazard,2009-08-19,29,1714220.00,0.0700,119995.00,Technology,Computer Peripherals
1764,Order Finished,Hallie Redmond,2012-03-24,7,119980.00,0.1000,11998.00,Office Supplies,Paper
1767,Order Finished,Roger Barcio,2011-03-13,10,92680.00,0.0500,4634.00,Office Supplies,Rubber Bands
1792,Order Finished,Carlos Soltero,2010-11-08,28,740960.00,0.0400,29638.00,Office Supplies,Storage & Organization
1793,Order Finished,Joni Blumstein,2012-07-11,36,466860.00,0.0300,14006.00,Office Supplies,Binders & Binder Accessories
1796,Order Finished,Deanra Eno,2012-11-20,43,366820.00,0.0700,25677.00,Office Supplies,Binders & Binder Accessories
1799,Order Finished,Trudy Schmidt,2009-03-06,10,2374240.00,0.0600,142454.00,Furniture,Chairs & Chairmats
1824,Order Finished,Becky Pak,2009-05-04,39,21312520.00,0.0600,1278751.00,Furniture,Chairs & Chairmats
1825,Order Finished,Aaron Smayling,2010-12-04,22,76520.00,0.0300,2296.00,Office Supplies,Pens & Art Supplies
1826,Order Finished,Susan Vittorini,2012-04-15,5,56640.00,0.0900,5098.00,Office Supplies,Paper
1829,Order Finished,Tom Stivers,2009-05-07,48,266080.00,0.0700,18626.00,Office Supplies,Binders & Binder Accessories
1831,Order Finished,Ken Brennan,2010-12-01,33,25172380.00,0.0000,0.00,Office Supplies,Storage & Organization
1856,Order Finished,Alex Avila,2012-03-19,24,2898600.00,0.0800,231888.00,Office Supplies,Appliances
1857,Order Finished,Bill Eplett,2010-01-12,37,399520.00,0.0700,27966.00,Office Supplies,Pens & Art Supplies
1863,Order Finished,Sung Pak,2010-09-22,26,4830760.00,0.0800,386461.00,Furniture,Chairs & Chairmats
1888,Order Finished,Kean Thornton,2010-10-30,38,2528920.00,0.0000,0.00,Furniture,Tables
1891,Order Finished,Jeremy Ellison,2009-12-14,3,604720.00,0.0900,54425.00,Furniture,Office Furnishings
1892,Order Finished,Joe Kamberova,2009-03-25,47,387260.00,0.0500,19363.00,Office Supplies,Binders & Binder Accessories
1895,Order Finished,Mitch Willingham,2009-05-29,5,82500.00,0.0200,1650.00,Office Supplies,Paper
1921,Order Returned,Benjamin Venier,2009-01-17,24,15743820.00,0.0500,787191.00,Office Supplies,Appliances
1925,Order Finished,Brian Moss,2012-03-04,7,3748740.00,0.0800,299899.00,Furniture,Chairs & Chairmats
1952,Order Finished,Alejandro Grove,2009-03-15,24,14575100.00,0.0400,583004.00,Furniture,Tables
1953,Order Finished,Sam Zeldin,2010-11-29,13,275280.00,0.0600,16517.00,Office Supplies,Binders & Binder Accessories
1985,Order Finished,Katherine Murray,2009-09-01,1,22700.00,0.0900,2043.00,Office Supplies,Paper
1988,Order Finished,Paul Knutson,2011-10-05,9,244280.00,0.0400,9771.00,Office Supplies,Storage & Organization
1991,Order Finished,Barry Franz,2012-09-06,27,6982120.00,0.0900,628391.00,Furniture,Office Furnishings
2020,Order Finished,Sandra Glassco,2010-06-20,42,427500.00,0.0300,12825.00,Technology,Computer Peripherals
2022,Order Finished,Alan Hwang,2012-03-14,45,372880.00,0.0000,0.00,Office Supplies,Appliances
2023,Order Finished,Sam Craven,2012-05-05,4,589780.00,0.0900,53080.00,Technology,Computer Peripherals
2048,Order Finished,Deanra Eno,2010-11-14,12,7505220.00,0.0100,75052.00,Office Supplies,Appliances
2050,Order Returned,James Galang,2009-06-01,16,88920.00,0.0600,5335.00,Office Supplies,Labels
2052,Order Returned,Rob Lucas,2012-04-12,23,215860.00,0.0000,0.00,Office Supplies,Binders & Binder Accessories
2053,Order Finished,Todd Boyes,2011-02-06,39,38685680.00,0.0100,386857.00,Furniture,Chairs & Chairmats
2054,Order Finished,Katrina Willman,2012-06-07,1,687560.00,0.0900,61880.00,Office Supplies,Appliances
2055,Order Returned,Nora Paige,2010-09-03,7,132820.00,0.0500,6641.00,Office Supplies,Envelopes
2084,Order Finished,Andy Reiter,2010-03-16,16,1385460.00,0.0100,13855.00,Office Supplies,Paper
2086,Order Finished,Brian Moss,2009-10-18,24,2823160.00,0.0100,28232.00,Office Supplies,Paper
2144,Order Finished,Jonathan Doherty,2009-03-28,40,11890735.00,0.0800,951259.00,Technology,Telephones & Communication
2146,Order Returned,Todd Boyes,2012-09-13,41,12222337.00,0.0600,733340.00,Technology,Telephones & Communication
2147,Order Finished,Hallie Redmond,2012-09-05,15,1210200.00,0.0400,48408.00,Office Supplies,Appliances
2149,Order Finished,Lori Olson,2010-03-12,4,87120.00,0.0100,871.00,Furniture,Office Furnishings
2150,Order Finished,Vivian Mathis,2009-06-02,21,7811500.00,0.0100,78115.00,Furniture,Tables
2181,Order Finished,Kelly Lampkin,2011-09-12,40,205120.00,0.0600,12307.00,Office Supplies,Labels
2208,Order Finished,Jack O'Briant,2011-04-30,7,164120.00,0.0700,11488.00,Office Supplies,Binders & Binder Accessories
2209,Order Finished,Pete Armstrong,2012-07-09,27,18837460.00,0.0000,0.00,Furniture,Chairs & Chairmats
2211,Order Finished,Vivian Mathis,2009-06-29,22,3302180.00,0.0500,165109.00,Technology,Computer Peripherals
2213,Order Returned,Sam Zeldin,2010-01-14,6,80620.00,0.0800,6450.00,Office Supplies,Paper
2240,Order Returned,Sarah Brown,2012-03-05,17,372040.00,0.0100,3720.00,Furniture,Office Furnishings
2241,Order Finished,Sarah Brown,2010-05-10,38,1935560.00,0.0400,77422.00,Office Supplies,Binders & Binder Accessories
2244,Order Finished,Elpida Rittenbach,2010-01-08,19,177220.00,0.0100,1772.00,Office Supplies,Binders & Binder Accessories
2247,Order Finished,Bill Eplett,2012-08-01,6,42269420.00,0.0600,2536165.00,Technology,Office Machines
2272,Order Finished,Grant Donatelli,2010-04-12,39,15360580.00,0.0800,1228846.00,Furniture,Tables
2275,Order Finished,Grant Carroll,2012-10-21,49,556000.00,0.0800,44480.00,Office Supplies,Pens & Art Supplies
2277,Order Finished,Don Miller,2011-01-01,10,133080.00,0.0100,1331.00,Technology,Computer Peripherals
2279,Order Finished,Rob Haberlin,2010-02-22,49,9154360.00,0.0000,0.00,Furniture,Chairs & Chairmats
2305,Order Finished,Maribeth Dona,2010-01-25,11,2765600.00,0.0100,27656.00,Office Supplies,Storage & Organization
2306,Order Finished,Liz Thompson,2011-07-25,15,227000.00,0.0500,11350.00,Office Supplies,Binders & Binder Accessories
2307,Order Finished,Carol Adams,2010-06-28,32,364660.00,0.1000,36466.00,Office Supplies,Binders & Binder Accessories
2309,Order Finished,Eric Barreto,2011-09-03,7,54020.00,0.0500,2701.00,Office Supplies,Binders & Binder Accessories
2311,Order Finished,Fred Harton,2011-05-01,31,2648180.00,0.0100,26482.00,Furniture,Office Furnishings
2339,Order Finished,Jennifer Braxton,2010-12-14,12,3269960.00,0.0900,294296.00,Office Supplies,Storage & Organization
2341,Order Finished,Sara Luxemburg,2010-05-29,29,314980.00,0.0900,28348.00,Office Supplies,Paper
2368,Order Finished,Sally Hughsby,2010-08-19,36,1017460.00,0.0800,81397.00,Office Supplies,Appliances
2370,Order Finished,Sanjit Jacobs,2009-01-16,6,1359200.00,0.0200,27184.00,Furniture,Office Furnishings
2373,Order Finished,Craig Carroll,2009-03-11,36,635180.00,0.0600,38111.00,Office Supplies,Binders & Binder Accessories
2374,Order Finished,Vivek Gonzalez,2010-10-28,21,156340.00,0.0100,1563.00,Office Supplies,Binders & Binder Accessories
2433,Order Finished,Cari Sayre,2009-08-21,14,48211740.00,0.0700,3374822.00,Technology,Office Machines
2436,Order Finished,Adam Hart,2011-09-10,14,660420.00,0.0700,46229.00,Office Supplies,Paper
2438,Order Finished,Andrew Allen,2010-07-14,20,557360.00,0.0600,33442.00,Office Supplies,Binders & Binder Accessories
2465,Order Finished,Rob Haberlin,2011-06-23,28,2164900.00,0.0400,86596.00,Technology,Computer Peripherals
2466,Order Finished,Quincy Jones,2009-03-05,25,5107680.00,0.0500,255384.00,Furniture,Office Furnishings
2467,Order Finished,Caroline Jumper,2011-07-15,30,8294940.00,0.0900,746545.00,Technology,Office Machines
2497,Order Finished,Michael Moore,2012-08-26,21,7258235.00,0.0600,435494.00,Technology,Telephones & Communication
2500,Order Returned,Bobby Elias,2012-08-14,5,45120.00,0.0400,1805.00,Office Supplies,Binders & Binder Accessories
2503,Order Returned,Maria Zettner,2010-06-19,21,182300.00,0.0300,5469.00,Office Supplies,Binders & Binder Accessories
2530,Order Finished,Rob Haberlin,2009-03-20,9,46920.00,0.0600,2815.00,Office Supplies,Labels
2532,Order Finished,Alan Barnes,2011-10-10,39,564140.00,0.0300,16924.00,Office Supplies,Labels
2535,Order Finished,Roland Fjeld,2010-05-24,6,165440.00,0.0800,13235.00,Technology,Computer Peripherals
2560,Order Finished,Harold Ryan,2012-09-04,32,1462440.00,0.0000,0.00,Technology,Computer Peripherals
2562,Order Returned,Cindy Chapman,2012-07-31,28,129640.00,0.0200,2593.00,Technology,Computer Peripherals
2563,Order Finished,Brenda Bowman,2010-11-18,12,63540.00,0.0400,2542.00,Office Supplies,Labels
